filename,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Screenshot 2025-04-28 204050_2_0.png,0.3583339,0.0,0.0,0.08434676,0.22574064,0.001559082,0.0,0.15669441,5.681582e-05,0.105364375,0.0022949101,0.00028037952,0.0,0.0072632623,0.20984152,0.0,0.36463585,0.012755893,2.7711763e-05,0.00061570323,6.205517e-05,0.17831163,0.010072997,0.0025070712,0.032922916,0.0039985524,0.24649453,0.03140906,0.047791697,0.14731416,0.1114517,0.047605697,0.054674894,0.10866168,5.673381e-05,0.33395576,2.773062e-05,0.05025751,0.0013464056,0.13745676,4.275643e-05,0.27290064,0.0036901752,0.010580545,0.0,0.04829386,1.9733776e-05,0.027525054,0.40682095,0.03230015,0.0050435863,0.1719907,0.031183887,0.21874037,0.0069773947,0.00012140385,0.006151446,0.0038744602,8.078786e-05,0.008527407,0.010077775,0.021583186,0.0055582137,0.008797269
Screenshot 2025-04-28 204050_3_0.png,0.3572874,0.0,0.0,0.08350003,0.22488111,0.0013298909,0.0,0.15657918,5.29103e-05,0.10439865,0.002426671,0.00040068867,0.0,0.0074738194,0.20998275,0.0,0.36353552,0.012673811,4.3686837e-06,0.00036091355,6.205517e-05,0.17663439,0.0096425,0.0025937129,0.03222719,0.0040102107,0.24539657,0.03147419,0.048071243,0.14701389,0.11026028,0.047755435,0.054873485,0.10833036,7.481256e-05,0.33214164,0.00010941374,0.050012697,0.0015051698,0.13683328,5.4348537e-05,0.2723247,0.0036782864,0.010264692,0.0,0.048548996,1.5794209e-05,0.026236577,0.4058317,0.0313066,0.0051822546,0.17116591,0.03142739,0.21825983,0.0061594765,0.0001945338,0.0059506884,0.0035000667,0.00016577721,0.008470774,0.008545706,0.02144265,0.0050585736,0.008695774
Screenshot 2025-04-28 204050_5_0.png,0.3428201,2.8875244e-05,0.0,0.086292356,0.22616233,0.0011592059,1.2391121e-05,0.1495342,5.1101557e-05,0.10443742,0.0022700639,0.0005770535,0.0,0.009138918,0.20463502,0.0,0.35812828,0.017351763,4.3686837e-06,0.0006201773,6.205517e-05,0.16475792,0.013223477,0.0026500972,0.032307725,0.0036598507,0.24781331,0.031414885,0.044679165,0.13850488,0.112172484,0.047330026,0.054188505,0.10232008,0.00021641245,0.33184415,2.1370197e-05,0.050092857,0.0019394754,0.12595226,2.8896477e-05,0.26100707,0.0037486996,0.012767784,1.7303846e-05,0.049338035,1.4592245e-05,0.028940521,0.38872784,0.03203475,0.0053010457,0.15891805,0.025258482,0.2005821,0.0065034335,0.00017198596,0.006431277,0.0036280956,0.00025704308,0.010870643,0.011161874,0.022107622,0.005993468,0.0121819675
Screenshot 2025-04-28 204050_6_0.png,0.36318794,0.0,0.0,0.083596185,0.2246081,0.0011343104,0.0,0.15950055,5.1101557e-05,0.10434404,0.0022333632,0.000164697,0.0,0.006293789,0.21262136,0.0,0.36618015,0.010782715,4.3686837e-06,0.00029367983,6.205517e-05,0.18167618,0.008232684,0.002563426,0.03202141,0.003525773,0.24473585,0.03144105,0.049058005,0.15051734,0.10992062,0.04829765,0.05452802,0.11066724,0.00010120938,0.3332426,5.596242e-05,0.04986628,0.0014821483,0.14127631,2.8780281e-05,0.27657232,0.003651788,0.008756721,3.1659085e-05,0.047939215,7.8342855e-06,0.02563417,0.41342193,0.031025477,0.005131861,0.17654246,0.03419465,0.22563717,0.0059435572,0.00024851263,0.0056705885,0.0034153443,6.5899454e-05,0.007336977,0.007215429,0.020974735,0.0044261906,0.0076951976
Screenshot 2025-04-28 204050_7_0.png,0.33433315,9.723235e-07,0.0,0.088743046,0.22704868,0.0015905868,0.0,0.14362068,5.1101557e-05,0.10643741,0.00239037,0.00078100257,0.0,0.010466577,0.20049691,0.0,0.35488957,0.019922804,5.777101e-05,0.0010512585,6.205517e-05,0.15853833,0.01919441,0.0026959006,0.033107396,0.004160415,0.24814337,0.03240913,0.04295475,0.13262032,0.11468087,0.045765128,0.055187955,0.09972963,0.00046701758,0.33228025,2.6617126e-05,0.05114588,0.0017289656,0.12038642,2.675935e-05,0.25240523,0.0037354296,0.014194988,0.0,0.04946848,4.5940968e-05,0.031299006,0.37815815,0.0359415,0.0050571267,0.15164994,0.02144077,0.19283386,0.0077828155,0.00012140385,0.0068002264,0.005065885,0.00031739587,0.012215344,0.017251492,0.023936778,0.0073358137,0.015439497
Screenshot 2025-04-28 204107_0_0.png,0.3341614,1.2993814e-05,0.0,0.08469547,0.22147952,0.0014602337,0.0,0.1454056,5.2392443e-05,0.10276748,0.0023715966,0.0001965116,0.0,0.012229238,0.1995796,0.0,0.35346138,0.018248845,4.3686837e-06,0.0004123846,6.205517e-05,0.158575,0.014622275,0.002809731,0.031666283,0.0043350225,0.2433086,0.031769436,0.04411756,0.13464972,0.11083065,0.045199003,0.054532498,0.09800848,0.00037217347,0.32466155,6.0615817e-05,0.050453942,0.0015977628,0.120904244,6.64282e-05,0.25525162,0.003912466,0.013884811,0.0,0.05148368,8.85255e-06,0.030824143,0.37837377,0.03345726,0.0052889525,0.1530306,0.022823356,0.19456406,0.007196747,0.00012140385,0.006108522,0.0042913575,0.0011576924,0.011502628,0.012692977,0.02157022,0.0068216063,0.013474223
Screenshot 2025-04-28 204107_1_0.png,0.3612824,0.0,0.0,0.08204828,0.2220104,0.001096892,0.0,0.15762201,5.5271063e-05,0.10268468,0.0022142394,0.00022112115,0.0,0.0065697697,0.21251792,0.0,0.36430675,0.010978909,4.3686837e-06,0.0006040805,6.205517e-05,0.17914426,0.008236218,0.0025233063,0.032208607,0.0037118187,0.24025288,0.03193735,0.04850611,0.15053773,0.11124128,0.048625484,0.054421578,0.10919964,3.0136807e-06,0.33212402,0.00013624065,0.04863826,0.0012259976,0.14003891,0.00012021657,0.2749812,0.0036469807,0.0076522157,0.0001117692,0.046860624,1.2317373e-05,0.026461184,0.40888363,0.030761806,0.0050349366,0.17323571,0.032849684,0.2246055,0.0062736426,0.00015490092,0.005845966,0.0035928055,5.2956704e-05,0.008454908,0.008348184,0.02149055,0.005819053,0.0056707207
Screenshot 2025-04-28 204107_2_0.png,0.34963602,0.00012984048,0.0,0.0847347,0.22320771,0.0010682631,7.4929267e-06,0.15228726,0.00014732304,0.10370871,0.0023430346,0.0003828658,0.0,0.008467149,0.20643917,0.0,0.35936108,0.012618084,4.3686837e-06,0.00032067983,6.205517e-05,0.17190397,0.01162517,0.002228636,0.032892708,0.004152539,0.24405321,0.03054173,0.046734065,0.1434106,0.10941412,0.04589454,0.05403096,0.10536874,0.00028900595,0.3302465,2.1370197e-05,0.051140647,0.0017441536,0.13320245,2.620642e-05,0.26717123,0.0037391044,0.010187468,4.6699115e-06,0.04943653,2.9812973e-05,0.028373921,0.3961309,0.03253854,0.005138805,0.16510491,0.029627534,0.21365172,0.0055663707,0.00012140385,0.0056017977,0.0038796747,0.00041029975,0.009157438,0.010385726,0.021076359,0.0060555637,0.011116257
Screenshot 2025-04-28 204107_3_0.png,0.34423214,0.0,0.0,0.08473286,0.22216882,0.0011192819,0.0,0.14993823,6.23387e-05,0.10321439,0.002211466,0.00040480497,0.0,0.009585623,0.20443636,0.0,0.35833177,0.016970253,4.3686837e-06,0.0005861493,6.205517e-05,0.16645935,0.012414316,0.0029233966,0.031926014,0.003635059,0.24403484,0.03193831,0.045239307,0.14025384,0.110791124,0.046264164,0.05390775,0.10245242,0.0003886721,0.3282633,0.0001230132,0.050587256,0.0016497386,0.12755491,6.0712984e-05,0.26268366,0.0036810143,0.011673416,9.619432e-06,0.04928457,8.668283e-06,0.029168492,0.38918078,0.03192067,0.0050448086,0.16051786,0.027003879,0.20488061,0.0063251983,0.00018403312,0.0063266666,0.0038450463,0.00056492584,0.010256857,0.011033017,0.021773774,0.006424466,0.011714604
Screenshot 2025-04-28 204107_5_0.png,0.34055218,0.0,0.0,0.0875689,0.2237654,0.0013165467,0.0,0.14723085,5.1324012e-05,0.10569079,0.002180526,0.0002196763,0.0,0.010620039,0.20262554,0.0,0.3579965,0.017966073,4.3686837e-06,0.0007035275,6.205517e-05,0.163633,0.015811307,0.0026237373,0.032459117,0.0038339992,0.2465525,0.0330922,0.04385278,0.13666485,0.11348709,0.045259766,0.054303728,0.101611674,0.00014264457,0.33042932,2.1370197e-05,0.051631324,0.001583166,0.12430937,4.9520848e-05,0.2582062,0.003719411,0.012258139,0.0,0.0497449,1.0852722e-05,0.03010369,0.3859517,0.035536885,0.005145724,0.1571024,0.023157137,0.20129661,0.0070847105,0.00012140385,0.006739322,0.005227012,0.0002929266,0.011113666,0.01355423,0.022470746,0.00754724,0.012990449
